scenario,threshold,longitude,latitude,frequency_change_per_year
ssp245,t25,-85.11537317032466,29.868983196974085,0.16161616
ssp245,t25,-83.54332142311549,29.868983196974085,0.27878788
ssp245,t25,-83.3187426020856,29.868983196974085,0.2555555
ssp245,t25,-83.09416378105573,29.868983196974085,0.26565656
ssp245,t25,-82.86958496002585,29.868983196974085,0.26767677
ssp245,t25,-82.64500613899597,29.868983196974085,0.26262623
ssp245,t25,-82.42042731796609,29.868983196974085,0.2525252
ssp245,t25,-82.19584849693621,29.868983196974085,0.24949493
ssp245,t25,-81.97126967590633,29.868983196974085,0.26060605
ssp245,t25,-81.74669085487645,29.868983196974085,0.2515151
ssp245,t25,-81.52211203384657,29.868983196974085,0.24141413
ssp245,t25,-83.3187426020856,29.644404375944205,0.25252524
ssp245,t25,-83.09416378105573,29.644404375944205,0.25757578
ssp245,t25,-82.86958496002585,29.644404375944205,0.25757578
ssp245,t25,-82.64500613899597,29.644404375944205,0.24040402
ssp245,t25,-82.42042731796609,29.644404375944205,0.23737371
ssp245,t25,-82.19584849693621,29.644404375944205,0.25353533
ssp245,t25,-81.97126967590633,29.644404375944205,0.26666665
ssp245,t25,-81.74669085487645,29.644404375944205,0.2393939
ssp245,t25,-81.52211203384657,29.644404375944205,0.2191919
ssp245,t25,-81.29753321281669,29.644404375944205,0.19797978
ssp245,t25,-83.09416378105573,29.419825554914325,0.28484848
ssp245,t25,-82.86958496002585,29.419825554914325,0.28484848
ssp245,t25,-82.64500613899597,29.419825554914325,0.25757575
ssp245,t25,-82.42042731796609,29.419825554914325,0.25959593
ssp245,t25,-82.19584849693621,29.419825554914325,0.2585858
ssp245,t25,-81.97126967590633,29.419825554914325,0.26060605
ssp245,t25,-81.74669085487645,29.419825554914325,0.2393939
ssp245,t25,-81.52211203384657,29.419825554914325,0.21818179
ssp245,t25,-81.29753321281669,29.419825554914325,0.19696969
ssp245,t25,-82.86958496002585,29.195246733884446,0.27777776
ssp245,t25,-82.64500613899597,29.195246733884446,0.279798
ssp245,t25,-82.42042731796609,29.195246733884446,0.25555557
ssp245,t25,-82.19584849693621,29.195246733884446,0.25858584
ssp245,t25,-81.97126967590633,29.195246733884446,0.24747473
ssp245,t25,-81.74669085487645,29.195246733884446,0.24242422
ssp245,t25,-81.52211203384657,29.195246733884446,0.20909089
ssp245,t25,-81.29753321281669,29.195246733884446,0.19595961
ssp245,t25,-81.07295439178681,29.195246733884446,0.17373739
ssp245,t25,-82.64500613899597,28.970667912854566,0.26868686
ssp245,t25,-82.42042731796609,28.970667912854566,0.26464644
ssp245,t25,-82.19584849693621,28.970667912854566,0.24141414
ssp245,t25,-81.97126967590633,28.970667912854566,0.22929291
ssp245,t25,-81.74669085487645,28.970667912854566,0.2232323
ssp245,t25,-81.52211203384657,28.970667912854566,0.1929293
ssp245,t25,-81.29753321281669,28.970667912854566,0.17070708
ssp245,t25,-81.07295439178681,28.970667912854566,0.1818182
ssp245,t25,-82.64500613899597,28.746089091824683,0.26060608
ssp245,t25,-82.42042731796609,28.746089091824683,0.25858584
ssp245,t25,-82.19584849693621,28.746089091824683,0.23737372
ssp245,t25,-81.97126967590633,28.746089091824683,0.2141414
ssp245,t25,-81.74669085487645,28.746089091824683,0.20707068
ssp245,t25,-81.52211203384657,28.746089091824683,0.2030303
ssp245,t25,-81.29753321281669,28.746089091824683,0.1929293
ssp245,t25,-81.07295439178681,28.746089091824683,0.19191918
ssp245,t25,-80.84837557075693,28.746089091824683,0.16464646
ssp245,t25,-82.64500613899597,28.521510270794803,0.22626258
ssp245,t25,-82.42042731796609,28.521510270794803,0.24848482
ssp245,t25,-82.19584849693621,28.521510270794803,0.24444444
ssp245,t25,-81.97126967590633,28.521510270794803,0.22828281
ssp245,t25,-81.74669085487645,28.521510270794803,0.22626264
ssp245,t25,-81.52211203384657,28.521510270794803,0.22323231
ssp245,t25,-81.29753321281669,28.521510270794803,0.20707071
ssp245,t25,-81.07295439178681,28.521510270794803,0.2060606
ssp245,t25,-80.84837557075693,28.521510270794803,0.14343435
ssp245,t25,-82.86958496002585,28.296931449764923,0.23232318
ssp245,t25,-82.64500613899597,28.296931449764923,0.2282828
ssp245,t25,-82.42042731796609,28.296931449764923,0.23030303
ssp245,t25,-82.19584849693621,28.296931449764923,0.2090909
ssp245,t25,-81.97126967590633,28.296931449764923,0.21818182
ssp245,t25,-81.74669085487645,28.296931449764923,0.2292929
ssp245,t25,-81.52211203384657,28.296931449764923,0.2161616
ssp245,t25,-81.29753321281669,28.296931449764923,0.2191919
ssp245,t25,-81.07295439178681,28.296931449764923,0.2212121
ssp245,t25,-80.84837557075693,28.296931449764923,0.16969697
ssp245,t25,-82.86958496002585,28.072352628735043,0.2080808
ssp245,t25,-82.64500613899597,28.072352628735043,0.19090907
ssp245,t25,-82.42042731796609,28.072352628735043,0.18282828
ssp245,t25,-82.19584849693621,28.072352628735043,0.19696967
ssp245,t25,-81.97126967590633,28.072352628735043,0.20303029
ssp245,t25,-81.74669085487645,28.072352628735043,0.20202018
ssp245,t25,-81.52211203384657,28.072352628735043,0.2131313
