scenario,model,threshold,mean_change,median_change,std_change,min_change,max_change
ssp585,FGOALS-g3,t25,0.036262281239032745,0.0,0.06241336092352867,-0.06666667014360428,0.4333333373069763
ssp585,EC-Earth3-Veg-LR,t25,0.03451436012983322,0.0,0.06371135264635086,-0.10000000149011612,0.5
ssp585,CanESM5,t25,0.03398526459932327,0.0,0.06296820193529129,-0.1666666716337204,0.5333333611488342
ssp585,CMCC-ESM2,t25,0.03342781588435173,0.0,0.06331316381692886,-0.10000000149011612,0.36666667461395264
ssp585,NorESM2-LM,t25,0.032379064708948135,0.0,0.06076512485742569,-0.06666667014360428,0.46666666865348816
ssp585,CMCC-CM2-SR5,t25,0.031198035925626755,0.0,0.05778825283050537,-0.13333334028720856,0.36666667461395264
ssp585,CNRM-ESM2-1,t25,0.030130386352539062,0.0,0.05994671955704689,-0.06666667014360428,0.36666667461395264
ssp585,INM-CM5-0,t25,0.02787225879728794,0.0,0.055553585290908813,-0.13333334028720856,0.36666667461395264
ssp585,MPI-ESM1-2-HR,t25,0.0262944083660841,0.0,0.050356753170490265,-0.1666666716337204,0.30000001192092896
ssp585,MRI-ESM2-0,t25,0.02260960079729557,0.0,0.0489620715379715,-0.06666667014360428,0.36666667461395264
ssp585,MPI-ESM1-2-LR,t25,0.020606577396392822,0.0,0.04157666862010956,-0.06666667014360428,0.2666666805744171
ssp585,MIROC-ES2L,t25,0.019189342856407166,0.0,0.043534453958272934,-0.03333333507180214,0.4000000059604645
ssp585,IPSL-CM6A-LR,t50,0.038633786141872406,0.0,0.0734369233250618,-0.03333333507180214,0.6666666865348816
ssp585,KACE-1-0-G,t50,0.0327475443482399,0.0,0.06131410971283913,-0.03333333507180214,0.3333333432674408
ssp585,UKESM1-0-LL,t50,0.02430083230137825,0.0,0.04782016947865486,-0.03333333507180214,0.6666666865348816
ssp585,CESM2-WACCM,t50,0.02352607622742653,0.0,0.051802366971969604,-0.03333333507180214,0.46666666865348816
ssp585,GISS-E2-1-G,t50,0.022675737738609314,0.0,0.04372053220868111,-0.06666667014360428,0.5
ssp585,MIROC6,t50,0.022486770525574684,0.0,0.05002658814191818,-0.03333333507180214,0.4333333373069763
ssp585,GFDL-CM4,t50,0.02210884541273117,0.0,0.045777760446071625,-0.06666667014360428,0.36666667461395264
ssp585,KIOST-ESM,t50,0.021494708955287933,0.0,0.03689403831958771,-0.03333333507180214,0.36666667461395264
ssp585,HadGEM3-GC31-LL,t50,0.019879061728715897,0.0,0.046383555978536606,-0.03333333507180214,0.46666666865348816
ssp585,ACCESS-ESM1-5,t50,0.018698034808039665,0.0,0.038239218294620514,-0.06666667014360428,0.4000000059604645
ssp585,NorESM2-MM,t50,0.0168556310236454,0.0,0.03694479167461395,-0.03333333507180214,0.4333333373069763
ssp585,CESM2,t50,0.015561224892735481,0.0,0.036109454929828644,-0.03333333507180214,0.3333333432674408
ssp585,TaiESM1,t50,0.01552343275398016,0.0,0.0404522567987442,-0.03333333507180214,0.4333333373069763
ssp585,INM-CM4-8,t50,0.014909299090504646,0.0,0.030138852074742317,-0.10000000149011612,0.3333333432674408
ssp585,BCC-CSM2-MR,t50,0.014795919880270958,0.0,0.040002238005399704,-0.06666667014360428,0.4333333373069763
ssp585,CNRM-CM6-1,t50,0.014493577182292938,0.0,0.03535536676645279,-0.03333333507180214,0.3333333432674408
ssp585,GFDL-ESM4,t50,0.013586546294391155,0.0,0.033313848078250885,-0.06666667014360428,0.4333333373069763
ssp585,ACCESS-CM2,t50,0.013454271480441093,0.0,0.03584295138716698,-0.06666667014360428,0.5
ssp585,CanESM5,t50,0.012244896963238716,0.0,0.02947170101106167,-0.13333334028720856,0.30000001192092896
ssp585,FGOALS-g3,t50,0.011999244801700115,0.0,0.031461164355278015,-0.03333333507180214,0.5
ssp585,CNRM-ESM2-1,t50,0.010827666148543358,0.0,0.02832646854221821,-0.03333333507180214,0.3333333432674408
ssp585,CMCC-ESM2,t50,0.010799320414662361,0.0,0.03239753842353821,-0.10000000149011612,0.46666666865348816
ssp585,EC-Earth3,t50,0.009457672946155071,0.0,0.03094722516834736,-0.03333333507180214,0.5
